Q_leading	QuestionText	Q_Agency	Q_Id	Q_Version
And in the last ten years	(And in the last ten years) have you had a hernia?	uk.lha	79b34540-18c5-4528-a8a3-5a042a09d79f	1
And, how likely is it that you will...	(And, how likely is it that you will...) Be kept back in your job due to family reasons, e.g. raising children?	uk.iser	de62c7f7-8fb4-40b6-970c-5fc070895e35	1
Apart from the pensions already mentioned	(Apart from the pensions already mentioned) Do you currently expect to receive any income or benefit from (other) savings and investments when you retire?	uk.iser	a46443c4-d306-4526-a720-474c0ce314e0	1
As I mentioned earlier	(As I mentioned earlier) I would like to measure your blood pressure. If asked The analysis of blood pressure readings will tell us a lot about the health of the population. Are you willing to have your Blood Pressure measured?	uk.lha	087d88bd-e29f-4578-9499-81d09d180ad4	1
Can I just check	(Can I just check) have you successfully completed an apprenticeship or are you still on one?	uk.cls.ncds	d7753f44-77bc-4204-b979-db461b01a039	1
Do you and your family/partner have...	(Do you and your family/partner have...) Enough money to keep your house in a decent state of repair?	uk.iser	a6bcedcf-00a7-4b97-9f1a-449fa7195c2d	1
Does your child have/do your children have...	(Does your child have/do your children have...) Celebrations on special occassions such as birthdays, Christmas or other religious festivals?	uk.iser	d79832d2-ff8c-45b6-a098-e2390b28df48	1
Does your child/do your children...	(Does your child/do your children...) Do a hobby or leisure activity?	uk.iser	6b2bcf84-a00f-4c7c-8d75-0253ed35adc4	1
How common in your area is...	(How common in your area is...) Cars broken into or stolen?	uk.iser	5f41b4c5-9048-4f3c-bd08-9f8bf12b18fb	1
In general, how much influence do you have over...	(In general, how much influence do you have over...) How you do your work?	uk.iser	34c09f27-1439-4617-9a43-885d08a3893e	1
In the last 7 days	(In the last 7 days) Were the glasses of wine that you drank large (250 ml), standard (175 ml) or small (125 ml) glasses? [^Please do not include the glasses of wine that you drank from a bottle which you have already told me about].	uk.cls.bcs70	9addc44d-f41e-48b4-86f5-6d843f4e1b59	1
In the last seven days,	(In the last seven days,) how many alcopops have you had?	uk.cls.bcs70	575d5482-e88a-41e2-bba4-88a16acac6a8	1
On a scale from 0 to 10, where 0 means strongly dislike and 10 means strongly like...	(On a scale from 0 to 10, where 0 means strongly dislike and 10 means strongly like...) How do you feel about Sinn Fein?	uk.iser	2c3a9245-fc72-4672-aef2-844fb91b9663	1
Please indicate whether [CHILD NAME] can now do these things using the responses below.	(Please indicate whether [CHILD NAME] can now do these things using the responses below.) Blows his/her nose without assistance	uk.iser	f10cdaf9-a3fc-4ac3-8db9-05831574dffc	1
Since 1/ [interview month] / [interview year - 1], have you tried...	(Since 1/ [interview month] / [interview year - 1], have you tried...) Any other illegal drug (including ecstasy, cocaine, speed)?	uk.iser	eae4e2d9-4ead-4337-ae8e-5175ea8d992c	1
Thinking about retirement, how big of a worry is...	(Thinking about retirement, how big of a worry is...) Feeling lonely or isolated?	uk.iser	4796af3a-91db-43e2-aa01-d5e6129bc9c1	1
Thinking about retirement, how important is...	(Thinking about retirement, how important is...) Being able to take it easy?	uk.iser	d1041e95-5ec3-45c7-bb64-e96d347f4dad	1
Thinking of the past few weeks	(Thinking of the past few weeks, how much of the time has your job made you feel...) Depressed?	uk.iser	9d8dcbcf-8dec-4407-8774-5c449b6a03d4	1
We would like your permission to feed back some of your measurement and test results to your GP.	(We would like your permission to feed back some of your measurement and test results to your GP.) May we send your GP your Blood pressure and resting pulse rates?	uk.cls.ncds	6540dcd1-825b-47d8-b80d-0a233270b4bf	1
